[2022-05-05 15:08:34,826] [log.py|__console] [line:40] INFO    : 点击 loginSty 元素跳转到登录页
[2022-05-05 15:08:36,521] [log.py|__console] [line:46] ERROR   : Message: element click intercepted: Element is not clickable at point (1116, 25)
  (Session info: headless chrome=95.0.4638.69)

[2022-05-05 15:08:36,521] [log.py|__console] [line:40] INFO    : 定位 [placeholder='请输入手机号'] 元素进行手机号输入
[2022-05-05 15:08:51,686] [log.py|__console] [line:46] ERROR   : <pages.login_login.LoginFun object at 0x000000000367EEE0>页面未找到('css selector', "[placeholder='请输入手机号']")元素
[2022-05-05 15:08:51,686] [log.py|__console] [line:46] ERROR   : <pages.login_login.LoginFun object at 0x000000000367EEE0> 页面未找到 ('css selector', "[placeholder='请输入手机号']") 元素
[2022-05-05 15:08:51,687] [log.py|__console] [line:40] INFO    : 定位 [placeholder='请输入密码'] 元素进行密码输入
[2022-05-05 15:09:06,857] [log.py|__console] [line:46] ERROR   : <pages.login_login.LoginFun object at 0x000000000367EEE0>页面未找到('css selector', "[placeholder='请输入密码']")元素
[2022-05-05 15:09:06,857] [log.py|__console] [line:46] ERROR   : <pages.login_login.LoginFun object at 0x000000000367EEE0> 页面未找到 ('css selector', "[placeholder='请输入密码']") 元素
[2022-05-05 15:09:06,858] [log.py|__console] [line:40] INFO    : 点击 //span[text()='登录'] 元素进行登录操作
[2022-05-05 15:09:22,040] [log.py|__console] [line:46] ERROR   : <pages.login_login.LoginFun object at 0x000000000367EEE0>页面未找到('xpath', "//span[text()='登录']")元素
[2022-05-05 15:09:22,040] [log.py|__console] [line:46] ERROR   : 'NoneType' object has no attribute 'click'
[2022-05-05 15:09:22,041] [log.py|__console] [line:40] INFO    : 获取 //div[@role='alert'] 元素的文本
[2022-05-05 15:09:37,825] [log.py|__console] [line:46] ERROR   : <pages.login_login.LoginFun object at 0x000000000367EEE0>页面未找到('xpath', "//div[@role='alert']")元素
[2022-05-05 15:09:37,825] [log.py|__console] [line:46] ERROR   : 'NoneType' object has no attribute 'text'
[2022-05-05 15:09:37,826] [log.py|__console] [line:40] INFO    : 断言系统的提示-- None == 密码不能为空！
[2022-05-05 15:09:38,539] [log.py|__console] [line:40] INFO    : 点击 loginSty 元素跳转到登录页
[2022-05-05 15:09:39,157] [log.py|__console] [line:46] ERROR   : Message: element not interactable
  (Session info: headless chrome=95.0.4638.69)

[2022-05-05 15:09:39,158] [log.py|__console] [line:46] ERROR   : 手机号类型错误，请输入数字
[2022-05-05 15:09:39,158] [log.py|__console] [line:40] INFO    : 定位 [placeholder='请输入密码'] 元素进行密码输入
[2022-05-05 15:09:54,357] [log.py|__console] [line:46] ERROR   : <pages.login_login.LoginFun object at 0x000000000367EEE0>页面未找到('css selector', "[placeholder='请输入密码']")元素
[2022-05-05 15:09:54,358] [log.py|__console] [line:46] ERROR   : <pages.login_login.LoginFun object at 0x000000000367EEE0> 页面未找到 ('css selector', "[placeholder='请输入密码']") 元素
[2022-05-05 15:09:54,358] [log.py|__console] [line:40] INFO    : 点击 //span[text()='登录'] 元素进行登录操作
[2022-05-05 15:10:09,534] [log.py|__console] [line:46] ERROR   : <pages.login_login.LoginFun object at 0x000000000367EEE0>页面未找到('xpath', "//span[text()='登录']")元素
[2022-05-05 15:10:09,534] [log.py|__console] [line:46] ERROR   : 'NoneType' object has no attribute 'click'
[2022-05-05 15:10:09,535] [log.py|__console] [line:40] INFO    : 获取 //div[@role='alert'] 元素的文本
[2022-05-05 15:10:25,222] [log.py|__console] [line:46] ERROR   : <pages.login_login.LoginFun object at 0x000000000367EEE0>页面未找到('xpath', "//div[@role='alert']")元素
[2022-05-05 15:10:25,222] [log.py|__console] [line:46] ERROR   : 'NoneType' object has no attribute 'text'
[2022-05-05 15:10:25,223] [log.py|__console] [line:40] INFO    : 断言系统的提示-- None == 请输入正确的手机号码！
[2022-05-05 15:10:25,924] [log.py|__console] [line:40] INFO    : 点击 loginSty 元素跳转到登录页
[2022-05-05 15:10:26,520] [log.py|__console] [line:46] ERROR   : Message: element not interactable
  (Session info: headless chrome=95.0.4638.69)

[2022-05-05 15:10:26,521] [log.py|__console] [line:40] INFO    : 定位 [placeholder='请输入手机号'] 元素进行手机号输入
[2022-05-05 15:10:41,682] [log.py|__console] [line:46] ERROR   : <pages.login_login.LoginFun object at 0x000000000367EEE0>页面未找到('css selector', "[placeholder='请输入手机号']")元素
[2022-05-05 15:10:41,682] [log.py|__console] [line:46] ERROR   : <pages.login_login.LoginFun object at 0x000000000367EEE0> 页面未找到 ('css selector', "[placeholder='请输入手机号']") 元素
[2022-05-05 15:10:41,683] [log.py|__console] [line:40] INFO    : 定位 [placeholder='请输入密码'] 元素进行密码输入
[2022-05-05 15:10:56,853] [log.py|__console] [line:46] ERROR   : <pages.login_login.LoginFun object at 0x000000000367EEE0>页面未找到('css selector', "[placeholder='请输入密码']")元素
