[2022-05-05 15:21:48,598] [log.py|__console] [line:40] INFO    : 点击 loginSty 元素跳转到登录页
[2022-05-05 15:21:50,305] [log.py|__console] [line:46] ERROR   : Message: element click intercepted: Element is not clickable at point (1116, 25)
  (Session info: headless chrome=95.0.4638.69)

[2022-05-05 15:21:50,305] [log.py|__console] [line:40] INFO    : 定位 [placeholder='请输入手机号'] 元素进行手机号输入
[2022-05-05 15:22:05,504] [log.py|__console] [line:46] ERROR   : <pages.login_login.LoginFun object at 0x000000000379E100>页面未找到('css selector', "[placeholder='请输入手机号']")元素
[2022-05-05 15:22:05,505] [log.py|__console] [line:46] ERROR   : <pages.login_login.LoginFun object at 0x000000000379E100> 页面未找到 ('css selector', "[placeholder='请输入手机号']") 元素
[2022-05-05 15:22:05,505] [log.py|__console] [line:40] INFO    : 定位 [placeholder='请输入密码'] 元素进行密码输入
[2022-05-05 15:22:16,212] [log.py|__console] [line:46] ERROR   : <pages.login_login.LoginFun object at 0x000000000379E100>页面未找到('css selector', "[placeholder='请输入密码']")元素
[2022-05-05 15:22:16,213] [log.py|__console] [line:46] ERROR   : <pages.login_login.LoginFun object at 0x000000000379E100> 页面未找到 ('css selector', "[placeholder='请输入密码']") 元素
[2022-05-05 15:22:16,213] [log.py|__console] [line:40] INFO    : 点击 //span[text()='登录'] 元素进行登录操作
[2022-05-05 15:22:17,217] [log.py|__console] [line:46] ERROR   : <pages.login_login.LoginFun object at 0x000000000379E100>页面未找到('xpath', "//span[text()='登录']")元素
[2022-05-05 15:22:17,217] [log.py|__console] [line:46] ERROR   : 'NoneType' object has no attribute 'click'
[2022-05-05 15:22:17,218] [log.py|__console] [line:40] INFO    : 获取 //div[@role='alert'] 元素的文本
[2022-05-05 15:22:21,736] [log.py|__console] [line:46] ERROR   : <pages.login_login.LoginFun object at 0x000000000379E100>页面未找到('xpath', "//div[@role='alert']")元素
[2022-05-05 15:22:21,736] [log.py|__console] [line:46] ERROR   : 'NoneType' object has no attribute 'text'
[2022-05-05 15:22:21,737] [log.py|__console] [line:40] INFO    : 断言系统的提示-- None == 密码不能为空！
