[2022-05-07 11:57:07,849] [log.py|__console] [line:40] INFO    : 展开搜索类型-- //div[@class='el-input-group__prepend']//input
[2022-05-07 11:57:07,907] [log.py|__console] [line:40] INFO    : 鼠标选停在搜索类型-- .el-select-dropdown__wrap.el-scrollbar__wrap
[2022-05-07 11:57:08,196] [log.py|__console] [line:40] INFO    : 切换搜索类型-- //div[@class='el-select-dropdown__wrap el-scrollbar__wrap']//span[text()='找人才']
[2022-05-07 11:57:08,315] [log.py|__console] [line:40] INFO    : 首页搜索框中输入搜索内容-- //input[@placeholder='搜索职位、公司']
[2022-05-07 11:57:08,408] [log.py|__console] [line:40] INFO    : 点击搜索按钮-- //button[@class='el-button butselect el-button--default']
[2022-05-07 11:57:09,032] [log.py|__console] [line:40] INFO    : 获取列表中的岗位名称-- //div[@class='leftCentent']/ul[1]//div[@class='gonglei']/span
[2022-05-07 11:57:09,072] [log.py|__console] [line:40] INFO    : 获取列表中的岗位名称-- //div[@class='leftCentent']/ul[2]//div[@class='gonglei']/span
[2022-05-07 11:57:09,132] [log.py|__console] [line:40] INFO    : 获取列表中的岗位名称-- //div[@class='leftCentent']/ul[3]//div[@class='gonglei']/span
[2022-05-07 11:57:09,190] [log.py|__console] [line:40] INFO    : 获取列表中的岗位名称-- //div[@class='leftCentent']/ul[4]//div[@class='gonglei']/span
[2022-05-07 11:57:09,248] [log.py|__console] [line:40] INFO    : 获取列表中的岗位名称-- //div[@class='leftCentent']/ul[5]//div[@class='gonglei']/span
[2022-05-07 11:57:09,295] [log.py|__console] [line:40] INFO    : 获取列表中的岗位名称-- //div[@class='leftCentent']/ul[6]//div[@class='gonglei']/span
[2022-05-07 11:57:09,356] [log.py|__console] [line:40] INFO    : 获取列表中的岗位名称-- //div[@class='leftCentent']/ul[7]//div[@class='gonglei']/span
[2022-05-07 11:57:09,405] [log.py|__console] [line:40] INFO    : 获取列表中的岗位名称-- //div[@class='leftCentent']/ul[8]//div[@class='gonglei']/span
[2022-05-07 11:57:09,507] [log.py|__console] [line:40] INFO    : 获取列表中的岗位名称-- //div[@class='leftCentent']/ul[9]//div[@class='gonglei']/span
[2022-05-07 11:57:09,626] [log.py|__console] [line:40] INFO    : 获取列表中的岗位名称-- //div[@class='leftCentent']/ul[10]//div[@class='gonglei']/span
