[2022-05-14 12:00:55,033] [log.py|__console] [line:40] INFO    : 点击 loginSty 元素跳转到登录页
[2022-05-14 12:00:55,099] [log.py|__console] [line:40] INFO    : 定位 [placeholder='请输入手机号'] 元素进行手机号输入
[2022-05-14 12:00:55,182] [log.py|__console] [line:40] INFO    : 定位 [placeholder='请输入密码'] 元素进行密码输入
[2022-05-14 12:00:55,282] [log.py|__console] [line:40] INFO    : 点击 //span[text()='登录'] 元素进行登录操作
[2022-05-14 12:00:55,346] [log.py|__console] [line:40] INFO    : 切换模块-- //li[text()='我的简历']
[2022-05-14 12:00:55,918] [log.py|__console] [line:40] INFO    : 点击我的名片中的编辑按钮-- //div[@class='myMessage2']//span[@class='riCompile']/span
[2022-05-14 12:00:56,030] [log.py|__console] [line:40] INFO    : 编辑名片中，点击生日控件-- //div[@class='xinxi']/div[@class='top'][1]//input
[2022-05-14 12:00:57,483] [log.py|__console] [line:40] INFO    : 切换出生日期-- .available * span:nth-child(13)
[2022-05-14 12:01:12,824] [log.py|__console] [line:46] ERROR   : <pages.personal_center.PersonalCenter object at 0x0000000003A720A0>页面未找到('css selector', '.available * span:nth-child(13)')元素
[2022-05-14 12:01:12,824] [log.py|__console] [line:46] ERROR   : 'NoneType' object has no attribute 'click'
[2022-05-14 12:01:12,825] [log.py|__console] [line:40] INFO    : 确认修改编辑后的我的名片-- //div[@class='compileMyMessage']//span[@class='riCompile']/span[2]
[2022-05-14 12:01:12,861] [log.py|__console] [line:40] INFO    : 获取用户信息-- //div[@class='myMessage2']//div[@class='xinxi']/span[2]
[2022-05-14 12:01:13,597] [log.py|__console] [line:40] INFO    : 鼠标悬停到个人头像上-- .monicker.fl.clearfix
