[2022-05-07 11:58:55,646] [log.py|__console] [line:40] INFO    : 展开搜索类型-- //div[@class='el-input-group__prepend']//input
[2022-05-07 11:58:56,467] [log.py|__console] [line:40] INFO    : 鼠标选停在搜索类型-- .el-select-dropdown__wrap.el-scrollbar__wrap
[2022-05-07 11:58:56,757] [log.py|__console] [line:40] INFO    : 切换搜索类型-- //div[@class='el-select-dropdown__wrap el-scrollbar__wrap']//span[text()='找工作']
[2022-05-07 11:58:56,819] [log.py|__console] [line:40] INFO    : 首页搜索框中输入搜索内容-- //input[@placeholder='搜索职位、公司']
[2022-05-07 11:58:56,893] [log.py|__console] [line:40] INFO    : 点击搜索按钮-- //button[@class='el-button butselect el-button--default']
[2022-05-07 11:58:57,522] [log.py|__console] [line:40] INFO    : 获取列表中的岗位名称-- //div[@class='leftCentent']/ul[1]//p[@class='textStyle']/span[1]
[2022-05-07 11:58:58,042] [log.py|__console] [line:40] INFO    : 获取列表中的企业名称-- //div[@class='leftCentent']/ul[1]//p[@class='textStyle']/span[2]
[2022-05-07 11:58:58,562] [log.py|__console] [line:40] INFO    : 获取列表中的岗位类型-- //div[@class='leftCentent']/ul[1]//span[@class='Textright']
[2022-05-07 11:58:59,093] [log.py|__console] [line:40] INFO    : 获取列表中的岗位名称-- //div[@class='leftCentent']/ul[2]//p[@class='textStyle']/span[1]
[2022-05-07 11:58:59,614] [log.py|__console] [line:40] INFO    : 获取列表中的企业名称-- //div[@class='leftCentent']/ul[2]//p[@class='textStyle']/span[2]
[2022-05-07 11:59:00,134] [log.py|__console] [line:40] INFO    : 获取列表中的岗位类型-- //div[@class='leftCentent']/ul[2]//span[@class='Textright']
[2022-05-07 11:59:00,666] [log.py|__console] [line:40] INFO    : 获取列表中的岗位名称-- //div[@class='leftCentent']/ul[3]//p[@class='textStyle']/span[1]
[2022-05-07 11:59:01,206] [log.py|__console] [line:40] INFO    : 获取列表中的企业名称-- //div[@class='leftCentent']/ul[3]//p[@class='textStyle']/span[2]
[2022-05-07 11:59:01,726] [log.py|__console] [line:40] INFO    : 获取列表中的岗位类型-- //div[@class='leftCentent']/ul[3]//span[@class='Textright']
[2022-05-07 11:59:02,264] [log.py|__console] [line:40] INFO    : 获取列表中的岗位名称-- //div[@class='leftCentent']/ul[4]//p[@class='textStyle']/span[1]
[2022-05-07 11:59:02,786] [log.py|__console] [line:40] INFO    : 获取列表中的企业名称-- //div[@class='leftCentent']/ul[4]//p[@class='textStyle']/span[2]
[2022-05-07 11:59:03,306] [log.py|__console] [line:40] INFO    : 获取列表中的岗位类型-- //div[@class='leftCentent']/ul[4]//span[@class='Textright']
[2022-05-07 11:59:03,836] [log.py|__console] [line:40] INFO    : 获取列表中的岗位名称-- //div[@class='leftCentent']/ul[5]//p[@class='textStyle']/span[1]
[2022-05-07 11:59:04,356] [log.py|__console] [line:40] INFO    : 获取列表中的企业名称-- //div[@class='leftCentent']/ul[5]//p[@class='textStyle']/span[2]
[2022-05-07 11:59:04,876] [log.py|__console] [line:40] INFO    : 获取列表中的岗位类型-- //div[@class='leftCentent']/ul[5]//span[@class='Textright']
[2022-05-07 11:59:05,407] [log.py|__console] [line:40] INFO    : 获取列表中的岗位名称-- //div[@class='leftCentent']/ul[6]//p[@class='textStyle']/span[1]
[2022-05-07 11:59:05,927] [log.py|__console] [line:40] INFO    : 获取列表中的企业名称-- //div[@class='leftCentent']/ul[6]//p[@class='textStyle']/span[2]
[2022-05-07 11:59:06,448] [log.py|__console] [line:40] INFO    : 获取列表中的岗位类型-- //div[@class='leftCentent']/ul[6]//span[@class='Textright']
[2022-05-07 11:59:06,979] [log.py|__console] [line:40] INFO    : 获取列表中的岗位名称-- //div[@class='leftCentent']/ul[7]//p[@class='textStyle']/span[1]
[2022-05-07 11:59:07,500] [log.py|__console] [line:40] INFO    : 获取列表中的企业名称-- //div[@class='leftCentent']/ul[7]//p[@class='textStyle']/span[2]
[2022-05-07 11:59:08,019] [log.py|__console] [line:40] INFO    : 获取列表中的岗位类型-- //div[@class='leftCentent']/ul[7]//span[@class='Textright']
[2022-05-07 11:59:08,551] [log.py|__console] [line:40] INFO    : 获取列表中的岗位名称-- //div[@class='leftCentent']/ul[8]//p[@class='textStyle']/span[1]
[2022-05-07 11:59:09,071] [log.py|__console] [line:40] INFO    : 获取列表中的企业名称-- //div[@class='leftCentent']/ul[8]//p[@class='textStyle']/span[2]
[2022-05-07 11:59:09,591] [log.py|__console] [line:40] INFO    : 获取列表中的岗位类型-- //div[@class='leftCentent']/ul[8]//span[@class='Textright']
[2022-05-07 11:59:10,120] [log.py|__console] [line:40] INFO    : 获取列表中的岗位名称-- //div[@class='leftCentent']/ul[9]//p[@class='textStyle']/span[1]
[2022-05-07 11:59:10,641] [log.py|__console] [line:40] INFO    : 获取列表中的企业名称-- //div[@class='leftCentent']/ul[9]//p[@class='textStyle']/span[2]
[2022-05-07 11:59:11,162] [log.py|__console] [line:40] INFO    : 获取列表中的岗位类型-- //div[@class='leftCentent']/ul[9]//span[@class='Textright']
[2022-05-07 11:59:11,693] [log.py|__console] [line:40] INFO    : 获取列表中的岗位名称-- //div[@class='leftCentent']/ul[10]//p[@class='textStyle']/span[1]
[2022-05-07 11:59:12,213] [log.py|__console] [line:40] INFO    : 获取列表中的企业名称-- //div[@class='leftCentent']/ul[10]//p[@class='textStyle']/span[2]
[2022-05-07 11:59:12,747] [log.py|__console] [line:40] INFO    : 获取列表中的岗位类型-- //div[@class='leftCentent']/ul[10]//span[@class='Textright']
