[2022-05-07 10:28:32,298] [log.py|__console] [line:40] INFO    : 展开搜索类型-- //div[@class='el-input-group__prepend']//input
[2022-05-07 10:28:32,354] [log.py|__console] [line:40] INFO    : 鼠标选停在搜索类型-- .el-select-dropdown__wrap.el-scrollbar__wrap
[2022-05-07 10:28:32,688] [log.py|__console] [line:40] INFO    : 切换搜索类型-- //div[@class='el-select-dropdown__wrap el-scrollbar__wrap']//span[text()='找工作']
[2022-05-07 10:28:32,794] [log.py|__console] [line:40] INFO    : 首页搜索框中输入搜索内容-- //input[@placeholder='搜索职位、公司']
[2022-05-07 10:28:32,864] [log.py|__console] [line:40] INFO    : 点击搜索按钮-- //button[@class='el-button butselect el-button--default']
[2022-05-07 10:28:33,492] [log.py|__console] [line:40] INFO    : 获取列表中的岗位名称-- //div[@class='leftCentent']/ul[1]/p[@class='textStyle']/span[1]
[2022-05-07 10:28:48,684] [log.py|__console] [line:46] ERROR   : <pages.job_search.JobSearch object at 0x00000000039CD520>页面未找到('xpath', "//div[@class='leftCentent']/ul[1]/p[@class='textStyle']/span[1]")元素
[2022-05-07 10:29:03,879] [log.py|__console] [line:46] ERROR   : <pages.job_search.JobSearch object at 0x00000000039CD520>页面未找到('xpath', "//div[@class='leftCentent']/ul[1]/p[@class='textStyle']/span[1]")元素
[2022-05-07 10:29:03,879] [log.py|__console] [line:46] ERROR   : object of type 'NoneType' has no len()
[2022-05-07 10:29:03,880] [log.py|__console] [line:40] INFO    : 获取列表中的岗位名称-- //div[@class='leftCentent']/ul[1]/p[@class='textStyle']/span[1]
[2022-05-07 10:29:19,073] [log.py|__console] [line:46] ERROR   : <pages.job_search.JobSearch object at 0x00000000039CD520>页面未找到('xpath', "//div[@class='leftCentent']/ul[1]/p[@class='textStyle']/span[1]")元素
[2022-05-07 10:29:19,073] [log.py|__console] [line:40] INFO    : 获取列表中的岗位名称-- //div[@class='leftCentent']/ul[1]/p[@class='textStyle']/span[1]
[2022-05-07 10:29:34,270] [log.py|__console] [line:46] ERROR   : <pages.job_search.JobSearch object at 0x00000000039CD520>页面未找到('xpath', "//div[@class='leftCentent']/ul[1]/p[@class='textStyle']/span[1]")元素
[2022-05-07 10:29:34,270] [log.py|__console] [line:46] ERROR   : 'NoneType' object has no attribute 'is_displayed'
