[2022-05-07 11:02:47,667] [log.py|__console] [line:40] INFO    : 展开搜索类型-- //div[@class='el-input-group__prepend']//input
[2022-05-07 11:02:47,728] [log.py|__console] [line:40] INFO    : 鼠标选停在搜索类型-- .el-select-dropdown__wrap.el-scrollbar__wrap
[2022-05-07 11:02:48,058] [log.py|__console] [line:40] INFO    : 切换搜索类型-- //div[@class='el-select-dropdown__wrap el-scrollbar__wrap']//span[text()='找工作']
[2022-05-07 11:02:48,103] [log.py|__console] [line:40] INFO    : 首页搜索框中输入搜索内容-- //input[@placeholder='搜索职位、公司']
[2022-05-07 11:02:48,197] [log.py|__console] [line:40] INFO    : 点击搜索按钮-- //button[@class='el-button butselect el-button--default']
[2022-05-07 11:02:48,826] [log.py|__console] [line:40] INFO    : 获取列表中的岗位名称-- //div[@class='leftCentent']/ul[1]/p[@class='textStyle']/span[1]
[2022-05-07 11:03:04,019] [log.py|__console] [line:46] ERROR   : <pages.job_search.JobSearch object at 0x000000000394B670>页面未找到('xpath', "//div[@class='leftCentent']/ul[1]/p[@class='textStyle']/span[1]")元素
[2022-05-07 11:03:19,206] [log.py|__console] [line:46] ERROR   : <pages.job_search.JobSearch object at 0x000000000394B670>页面未找到('xpath', "//div[@class='leftCentent']/ul[1]/p[@class='textStyle']/span[1]")元素
[2022-05-07 11:03:19,206] [log.py|__console] [line:46] ERROR   : object of type 'NoneType' has no len()
[2022-05-07 11:03:19,207] [log.py|__console] [line:40] INFO    : 获取列表中的企业名称-- //div[@class='leftCentent']/ul[1]/p[@class='textStyle']/span[2]
[2022-05-07 11:03:34,405] [log.py|__console] [line:46] ERROR   : <pages.job_search.JobSearch object at 0x000000000394B670>页面未找到('xpath', "//div[@class='leftCentent']/ul[1]/p[@class='textStyle']/span[2]")元素
[2022-05-07 11:03:49,631] [log.py|__console] [line:46] ERROR   : <pages.job_search.JobSearch object at 0x000000000394B670>页面未找到('xpath', "//div[@class='leftCentent']/ul[1]/p[@class='textStyle']/span[2]")元素
[2022-05-07 11:03:49,631] [log.py|__console] [line:46] ERROR   : object of type 'NoneType' has no len()
[2022-05-07 11:03:49,632] [log.py|__console] [line:40] INFO    : 获取列表中的岗位类型-- //div[@class='leftCentent']/ul[1]//span[@class='Textright']
